skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Deep Tan,Soft Gray Blouse + Charcoal Skirt,Matches deep tan skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Streetwear
Deep Dark,Mustard Yellow Coat + Brown Boots,Matches deep dark skin tone with mustard yellow/brown contrast.,Cool,"Blue, White, Pastels",Streetwear
Tan,Silver Blouse + Burgundy Skirt,Matches tan skin tone with silver/burgundy contrast.,Balanced,Neutral Palette,Formal
Deep Tan,Tan Dress + Brown Heels,Matches deep tan skin tone with tan/brown contrast.,Balanced,Neutral Palette,Elegant
Porcelain,Light Blue Jacket + Tan Pants,Matches porcelain skin tone with light blue/tan contrast.,Cool,"Blue, White, Pastels",Business
Fair,Red Jacket + Black Pants,Matches fair skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Formal
Caramel,Dark Green Top + Brown Trousers,Matches caramel skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Party
Ebony,Mint Green Dress + White Heels,Matches ebony skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Formal
Beige,Olive Green Blouse + Cream Skirt,Matches beige skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Business
Caramel,Beige Jacket + White Pants,Matches caramel skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Streetwear
Dark,Navy Blue Jacket + Beige Pants,Matches dark skin tone with navy blue/beige contrast.,Warm,"Earth Tones, Mustard",Business
Dark,Gray Blouse + Black Skirt,Matches dark skin tone with gray/black contrast.,Balanced,Neutral Palette,Streetwear
Honey,Gray Top + Black Trousers,Matches honey skin tone with gray/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Tan,Burgundy Blouse + Black Skirt,Matches tan skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Business
Fair,Olive Green Top + Cream Trousers,Matches fair skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Elegant
Medium,Peach Blouse + Olive Skirt,Matches medium skin tone with peach/olive contrast.,Balanced,Neutral Palette,Elegant
Caramel,Charcoal Jacket + Black Pants,Matches caramel skin tone with charcoal/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Dark,Navy Blue Top + Beige Trousers,Matches dark skin tone with navy blue/beige contrast.,Golden,"Deep Reds, Gold",Sporty
Honey,Charcoal Top + Black Trousers,Matches honey skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Business
Beige,Olive Green Top + Cream Trousers,Matches beige skin tone with olive green/cream contrast.,Cool,"Blue, White, Pastels",Casual
Deep Tan,Deep Red Coat + Gold Boots,Matches deep tan skin tone with deep red/gold contrast.,Golden,"Deep Reds, Gold",Casual
Ebony,Light Brown Top + Navy Trousers,Matches ebony skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Streetwear
Deep Dark,Burgundy Jacket + Black Pants,Matches deep dark skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Beige,Beige Jacket + White Pants,Matches beige skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Streetwear
Warm Brown,Silver Coat + Burgundy Boots,Matches warm brown skin tone with silver/burgundy contrast.,Cool,"Blue, White, Pastels",Elegant
Olive,Light Blue Sweater + Tan Jeans,Matches olive skin tone with light blue/tan contrast.,Cool,"Blue, White, Pastels",Boho
Deep Dark,Burnt Orange Blouse + Beige Skirt,Matches deep dark skin tone with burnt orange/beige contrast.,Balanced,Neutral Palette,Streetwear
Porcelain,Black Dress + Dark Denim Heels,Matches porcelain skin tone with black/dark denim contrast.,Deep,"Bold Colors, Navy",Streetwear
Tan,Sky Blue Sweater + White Jeans,Matches tan skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Streetwear
Deep Tan,Charcoal Sweater + Black Jeans,Matches deep tan skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Casual
Beige,Olive Green Dress + Khaki Heels,Matches beige skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Boho
Light,Gold Coat + Dark Blue Boots,Matches light skin tone with gold/dark blue contrast.,Golden,"Deep Reds, Gold",Party
Fair,Olive Green Jacket + Khaki Pants,Matches fair skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Streetwear
Caramel,White Dress + Light Blue Heels,Matches caramel skin tone with white/light blue contrast.,Balanced,Neutral Palette,Elegant
Olive,Deep Red Blouse + Gold Skirt,Matches olive skin tone with deep red/gold contrast.,Warm,"Earth Tones, Mustard",Business
Caramel,Charcoal Blouse + Black Skirt,Matches caramel skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Elegant
Tan,White Dress + Light Blue Heels,Matches tan skin tone with white/light blue contrast.,Deep,"Bold Colors, Navy",Casual
Olive,Olive Green Sweater + Khaki Jeans,Matches olive skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Streetwear
Honey,Soft Gray Dress + Charcoal Heels,Matches honey skin tone with soft gray/charcoal contrast.,Warm,"Earth Tones, Mustard",Business
Olive,Dark Green Dress + Brown Heels,Matches olive skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Formal
Deep Tan,Black Top + Charcoal Trousers,Matches deep tan skin tone with black/charcoal contrast.,Golden,"Deep Reds, Gold",Business
Caramel,Burgundy Jacket + Black Pants,Matches caramel skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Business
Warm Brown,Olive Green Dress + Khaki Heels,Matches warm brown skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Business
Beige,Gold Top + Dark Blue Trousers,Matches beige skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Elegant
Medium,Black Top + Dark Denim Trousers,Matches medium skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Business
Beige,Peach Coat + Olive Boots,Matches beige skin tone with peach/olive contrast.,Warm,"Earth Tones, Mustard",Sporty
Ebony,Burgundy Blouse + Black Skirt,Matches ebony skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Medium,Gray Blouse + Black Skirt,Matches medium skin tone with gray/black contrast.,Balanced,Neutral Palette,Elegant
Ebony,Mustard Yellow Sweater + Brown Jeans,Matches ebony skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Casual
Fair,Dark Green Sweater + Brown Jeans,Matches fair skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Formal
Ebony,Sky Blue Sweater + White Jeans,Matches ebony skin tone with sky blue/white contrast.,Golden,"Deep Reds, Gold",Sporty
Medium,Olive Green Coat + Khaki Boots,Matches medium skin tone with olive green/khaki contrast.,Cool,"Blue, White, Pastels",Elegant
Warm Brown,Navy Blue Coat + Beige Boots,Matches warm brown skin tone with navy blue/beige contrast.,Balanced,Neutral Palette,Boho
Warm Brown,Black Coat + Dark Denim Boots,Matches warm brown skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Boho
Fair,Light Brown Top + Navy Trousers,Matches fair skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Business
Warm Brown,Gray Jacket + Black Pants,Matches warm brown skin tone with gray/black contrast.,Cool,"Blue, White, Pastels",Party
Beige,Olive Green Blouse + Khaki Skirt,Matches beige skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Casual
Porcelain,Olive Green Sweater + Khaki Jeans,Matches porcelain skin tone with olive green/khaki contrast.,Warm,"Earth Tones, Mustard",Formal
Deep Tan,Gold Sweater + Dark Blue Jeans,Matches deep tan skin tone with gold/dark blue contrast.,Deep,"Bold Colors, Navy",Business
Fair,Black Coat + Charcoal Boots,Matches fair skin tone with black/charcoal contrast.,Golden,"Deep Reds, Gold",Streetwear
Fair,Soft Gray Dress + Charcoal Heels,Matches fair skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Sporty
Honey,Gold Dress + Dark Blue Heels,Matches honey skin tone with gold/dark blue contrast.,Deep,"Bold Colors, Navy",Business
Ebony,Peach Dress + Olive Heels,Matches ebony skin tone with peach/olive contrast.,Cool,"Blue, White, Pastels",Business
Deep Dark,Beige Dress + White Heels,Matches deep dark skin tone with beige/white contrast.,Deep,"Bold Colors, Navy",Business
Olive,Black Sweater + Dark Denim Jeans,Matches olive skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Casual
Honey,Charcoal Coat + Black Boots,Matches honey skin tone with charcoal/black contrast.,Warm,"Earth Tones, Mustard",Elegant
Ebony,White Sweater + Light Blue Jeans,Matches ebony skin tone with white/light blue contrast.,Deep,"Bold Colors, Navy",Streetwear
Olive,Olive Green Blouse + Cream Skirt,Matches olive skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Streetwear
Fair,Olive Green Coat + Cream Boots,Matches fair skin tone with olive green/cream contrast.,Cool,"Blue, White, Pastels",Casual
Fair,Soft Gray Top + Charcoal Trousers,Matches fair skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Party
Honey,Black Top + Dark Denim Trousers,Matches honey skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Formal
Beige,Burgundy Top + Black Trousers,Matches beige skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Formal
Beige,Black Top + Dark Denim Trousers,Matches beige skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Sporty
Dark,White Blouse + Light Blue Skirt,Matches dark skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Sporty
Fair,Navy Blue Blouse + Beige Skirt,Matches fair skin tone with navy blue/beige contrast.,Deep,"Bold Colors, Navy",Streetwear
Olive,Light Brown Sweater + Navy Jeans,Matches olive skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Formal
Deep Dark,Burgundy Dress + Black Heels,Matches deep dark skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Formal
Porcelain,Burgundy Blouse + Black Skirt,Matches porcelain skin tone with burgundy/black contrast.,Deep,"Bold Colors, Navy",Formal
Beige,Charcoal Top + Black Trousers,Matches beige skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Streetwear
Beige,Mustard Yellow Dress + Brown Heels,Matches beige skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Business
Beige,Olive Green Sweater + Khaki Jeans,Matches beige skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Party
Warm Brown,Mint Green Top + White Trousers,Matches warm brown skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Elegant
Medium,Silver Coat + Burgundy Boots,Matches medium skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Sporty
Porcelain,Black Coat + Charcoal Boots,Matches porcelain skin tone with black/charcoal contrast.,Warm,"Earth Tones, Mustard",Boho
Beige,Burgundy Jacket + Black Pants,Matches beige skin tone with burgundy/black contrast.,Deep,"Bold Colors, Navy",Business
Tan,Silver Jacket + Burgundy Pants,Matches tan skin tone with silver/burgundy contrast.,Golden,"Deep Reds, Gold",Party
Tan,Black Top + Dark Denim Trousers,Matches tan skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Business
Warm Brown,Black Jacket + Charcoal Pants,Matches warm brown skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Boho
Medium,Emerald Green Sweater + Black Jeans,Matches medium skin tone with emerald green/black contrast.,Warm,"Earth Tones, Mustard",Boho
Light,Gray Top + Black Trousers,Matches light skin tone with gray/black contrast.,Golden,"Deep Reds, Gold",Business
Fair,Burnt Orange Blouse + Beige Skirt,Matches fair skin tone with burnt orange/beige contrast.,Deep,"Bold Colors, Navy",Formal
Caramel,Royal Blue Jacket + Silver Pants,Matches caramel skin tone with royal blue/silver contrast.,Warm,"Earth Tones, Mustard",Formal
Deep Dark,Olive Green Jacket + Khaki Pants,Matches deep dark skin tone with olive green/khaki contrast.,Deep,"Bold Colors, Navy",Elegant
Honey,Sky Blue Sweater + White Jeans,Matches honey skin tone with sky blue/white contrast.,Deep,"Bold Colors, Navy",Sporty
Honey,Burgundy Sweater + Black Jeans,Matches honey skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Formal
Honey,Red Coat + Black Boots,Matches honey skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Elegant
Honey,Black Sweater + Charcoal Jeans,Matches honey skin tone with black/charcoal contrast.,Cool,"Blue, White, Pastels",Casual
Caramel,Burgundy Dress + Black Heels,Matches caramel skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Streetwear
Deep Tan,Burnt Orange Jacket + Beige Pants,Matches deep tan skin tone with burnt orange/beige contrast.,Deep,"Bold Colors, Navy",Party
Warm Brown,Deep Red Blouse + Gold Skirt,Matches warm brown skin tone with deep red/gold contrast.,Cool,"Blue, White, Pastels",Sporty
Light,Light Brown Top + Navy Trousers,Matches light skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Formal
Fair,Gold Dress + Dark Blue Heels,Matches fair skin tone with gold/dark blue contrast.,Deep,"Bold Colors, Navy",Formal
Warm Brown,Black Jacket + Charcoal Pants,Matches warm brown skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Elegant
Light,Charcoal Top + Black Trousers,Matches light skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Elegant
Medium,Light Brown Blouse + Navy Skirt,Matches medium skin tone with light brown/navy contrast.,Golden,"Deep Reds, Gold",Formal
Honey,Black Sweater + Dark Denim Jeans,Matches honey skin tone with black/dark denim contrast.,Golden,"Deep Reds, Gold",Sporty
Deep Dark,Olive Green Sweater + Khaki Jeans,Matches deep dark skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Streetwear
Tan,Tan Coat + Brown Boots,Matches tan skin tone with tan/brown contrast.,Balanced,Neutral Palette,Streetwear
Light,Navy Blue Blouse + Beige Skirt,Matches light skin tone with navy blue/beige contrast.,Warm,"Earth Tones, Mustard",Formal
Fair,Tan Top + Brown Trousers,Matches fair skin tone with tan/brown contrast.,Golden,"Deep Reds, Gold",Elegant
Medium,Beige Blouse + White Skirt,Matches medium skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Formal
Deep Dark,Soft Gray Jacket + Charcoal Pants,Matches deep dark skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Casual
Dark,Olive Green Blouse + Khaki Skirt,Matches dark skin tone with olive green/khaki contrast.,Deep,"Bold Colors, Navy",Sporty
Fair,Charcoal Top + Black Trousers,Matches fair skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Casual
Porcelain,Black Coat + Dark Denim Boots,Matches porcelain skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Sporty
Olive,Charcoal Coat + Black Boots,Matches olive skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Streetwear
Honey,Burgundy Jacket + Black Pants,Matches honey skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Party
Fair,Navy Blue Jacket + Beige Pants,Matches fair skin tone with navy blue/beige contrast.,Warm,"Earth Tones, Mustard",Casual
Porcelain,Gold Blouse + Dark Blue Skirt,Matches porcelain skin tone with gold/dark blue contrast.,Warm,"Earth Tones, Mustard",Party
Tan,Silver Sweater + Burgundy Jeans,Matches tan skin tone with silver/burgundy contrast.,Cool,"Blue, White, Pastels",Sporty
Dark,Charcoal Jacket + Black Pants,Matches dark skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Boho
Honey,Gray Sweater + Black Jeans,Matches honey skin tone with gray/black contrast.,Balanced,Neutral Palette,Formal
Ebony,Mint Green Coat + White Boots,Matches ebony skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Boho
Light,Deep Red Blouse + Gold Skirt,Matches light skin tone with deep red/gold contrast.,Balanced,Neutral Palette,Streetwear
Honey,Light Brown Top + Navy Trousers,Matches honey skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Streetwear
Beige,Soft Gray Top + Charcoal Trousers,Matches beige skin tone with soft gray/charcoal contrast.,Warm,"Earth Tones, Mustard",Streetwear
Medium,Black Blouse + Charcoal Skirt,Matches medium skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Formal
Beige,Olive Green Sweater + Khaki Jeans,Matches beige skin tone with olive green/khaki contrast.,Deep,"Bold Colors, Navy",Elegant
Tan,White Coat + Light Blue Boots,Matches tan skin tone with white/light blue contrast.,Cool,"Blue, White, Pastels",Casual
Tan,Burgundy Top + Black Trousers,Matches tan skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Medium,Emerald Green Sweater + Black Jeans,Matches medium skin tone with emerald green/black contrast.,Warm,"Earth Tones, Mustard",Casual
Warm Brown,Gold Top + Dark Blue Trousers,Matches warm brown skin tone with gold/dark blue contrast.,Balanced,Neutral Palette,Formal
Deep Dark,Burgundy Coat + Black Boots,Matches deep dark skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Streetwear
Porcelain,Black Dress + Dark Denim Heels,Matches porcelain skin tone with black/dark denim contrast.,Cool,"Blue, White, Pastels",Elegant
